"","version","doi","v1","v2","v3","v4","v5","v6"
"3374","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3374,"schreck",2.06976747512817,1.43751358985901,3,3
"3375","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3375,"schreckend",2.59999990463257,1.17378783226013,3,3
"3376","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3376,"schreckenstat",1.66666662693024,1.5,0,0
"3377","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3377,"schrecklich",2.06474828720093,1.32538557052612,3,3
"3378","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3378,"schreckschuss",2.29999995231628,1.05934989452362,2,2
"3379","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3379,"schreiduell",1.85714280605316,1.29241240024567,3,3
"3380","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3380,"schreien",2.36956524848938,1.19262742996216,3,3
"3381","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3381,"schreiend",2.39655160903931,1.05862629413605,3,3
"3382","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3382,"schreierei",2.59999990463257,0.981887221336365,3,3
"3383","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3383,"schriftlich",2.08695650100708,1.33657956123352,3,3
"3384","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3384,"schrill",2.79999995231628,1.22927260398865,3,3
"3385","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3385,"schrott",2.90909099578857,1.13618183135986,3,3
"3386","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3386,"schrottreif",2.97499990463257,0.919517695903778,3,3
"3387","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3387,"schrullig",0.90909093618393,0.943879783153534,0,0
"3388","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3388,"schröpf",2.31428575515747,1.2222912311554,3,3
"3389","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3389,"schröpfaktion",3.29999995231628,0.674948573112488,3,3
"3390","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3390,"schröpfaktionen",1.95000004768372,1.35627198219299,3,3
"3391","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3391,"schröpfung",2.63636374473572,1.12006497383118,3,3
"3392","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3392,"schubumkehr",2.05263161659241,1.02597832679749,2,2
"3393","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3393,"schuld",2.06067967414856,1.25126016139984,3,3
"3394","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3394,"schuldeingeständnis",2.80952382087708,0.872871577739716,3,3
"3395","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3395,"schuldenberg",2.40909099578857,1.09801077842712,3,3
"3396","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3396,"schuldenbremse",0.842105269432068,1.16729307174683,0,0
"3397","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3397,"schuldenlast",2.20000004768372,0.63245552778244,2,2
"3398","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3398,"schuldenmachen",1.89795923233032,1.40304577350616,3,3
"3399","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3399,"schuldenpolitik",2.34285712242126,1.21129143238068,3,3
"3400","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3400,"schuldig",1.95757579803467,1.17572772502899,3,2
"3401","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3401,"schuldspruch",1.6875,1.57982063293457,3,0
"3402","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3402,"schuldzuweisung",2.83333325386047,1.40345895290375,3,3
"3403","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3403,"schummelei",2.79999995231628,0.63245552778244,3,3
"3404","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3404,"schummeln",2.20000004768372,1.03279554843903,2,2
"3405","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3405,"schuss",1.95945942401886,1.26533544063568,3,3
"3406","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3406,"schutzbedürftig",1.66666662693024,1.43548107147217,0,0
"3407","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3407,"schutzmantel",2.79999995231628,0.63245552778244,3,3
"3408","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3408,"schwach",1.59146344661713,1.3467253446579,0,0
"3409","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3409,"schwachsinn",2.57657647132874,1.18743073940277,3,3
"3410","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3410,"schwachsinnigkeit",3.29999995231628,0.823272585868835,4,4
"3411","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3411,"schwammig",2.09230780601501,0.893092811107635,2,2
"3412","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3412,"schwanken",0.230769231915474,0.832050323486328,0,0
"3413","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3413,"schwarzarbeit",1.94444441795349,1.39208781719208,3,3
"3414","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3414,"schwarzblauorange",1.85714280605316,1.35062050819397,3,3
"3415","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3415,"schwarzgeldgeschäfte",2.22222232818604,1.30170822143555,3,3
"3416","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3416,"schwarzgeldzahlung",2.09090900421143,1.44599759578705,3,3
"3417","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3417,"schwarzmalen",1.63793098926544,1.18022119998932,2,2
"3418","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3418,"schwarzmalerei",2.33333325386047,0.952190458774567,3,3
"3419","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3419,"schwarzweißmalerei",2.09999990463257,1.37032032012939,3,3
"3420","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3420,"schwebe",2.36363625526428,1.20604538917542,2,2
"3421","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3421,"schwebend",1.89999997615814,1.37032032012939,3,3
"3422","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3422,"schweigekanzler",2.79999995231628,0.788810610771179,2,2
"3423","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3423,"schweigend",2.40000009536743,0.699205875396729,3,3
"3424","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3424,"schweinedoping",3,1.15470051765442,3,3
"3425","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3425,"schweinehund",1.20000004768372,1.31656122207642,0,0
"3426","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3426,"schweinerei",2.82500004768372,0.873762845993042,3,3
"3427","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3427,"schweinisch",1.42105257511139,1.38707482814789,0,0
"3428","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3428,"schwemme",2.29999995231628,1.03109550476074,3,3
"3429","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3429,"schwer",1.79967951774597,1.41872370243073,3,3
"3430","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3430,"schwerfällig",2.15686273574829,1.00742340087891,2,2
"3431","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3431,"schwergetroffen",1.79999995231628,1.61932766437531,0,0
"3432","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3432,"schwerkriminell",1.36842107772827,1.57093489170074,0,0
"3433","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3433,"schwerwiegend",2.19354844093323,1.24951601028442,3,3
"3434","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3434,"schwierig",1.33103454113007,1.25308048725128,0,0
"3435","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3435,"schwierigkeit",1.52380955219269,1.2540295124054,0,0
"3436","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3436,"schwindel",2.35714292526245,1.24211800098419,3,3
"3437","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3437,"schwindelbudget",1.89999997615814,1.37032032012939,3,3
"3438","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3438,"schwindelei",2.5,0.70710676908493,3,3
"3439","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3439,"schwindelerregend",0.100000001490116,0.31622776389122,0,0
"3440","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3440,"schwindeln",2.25,1.29269206523895,3,3
"3441","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3441,"schwinden",2.40000009536743,1.17378783226013,3,3
"3442","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3442,"schwirren",2.5,0.70710676908493,3,3
"3443","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3443,"schwulenhass",3.59999990463257,0.699205875396729,4,4
"3444","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3444,"schwummrig",2.30508470535278,0.95148229598999,3,3
